#1
double Tamb(6052,2) # Time in h and Tamb in degC
15.425,21.9535
15.426,21.9413
15.428,21.9535
15.429,21.9413
15.43,21.9535
15.432,21.9413
15.433,21.9901
15.436,21.9535
15.439,21.8925
15.44,21.9413
15.441,21.9535
15.442,21.9413
15.446,21.9535
15.447,21.9413
15.448,21.9901
15.449,21.9413
15.45,21.8925
15.452,21.9779
15.453,21.8925
15.455,21.9535
15.457,21.9901
15.458,21.9413
15.461,21.8925
15.463,21.9291
15.464,21.9413
15.465,21.8925
15.466,21.9413
15.467,21.8925
15.468,21.9901
15.469,21.9535
15.47,21.9901
15.471,21.8436
15.474,21.9413
15.48,21.8436
15.481,21.9413
15.482,21.9535
15.483,21.8925
15.49,21.8558
15.491,21.9291
15.492,21.8558
15.493,21.8925
15.495,21.8436
15.497,21.8558
15.501,21.868
15.506,21.8558
15.508,21.8436
15.509,21.8558
15.513,21.8436
15.514,21.8558
15.515,21.7826
15.516,21.8925
15.517,21.8436
15.518,21.8558
15.519,21.8436
15.521,21.8558
15.522,21.8925
15.523,21.8436
15.524,21.8558
15.525,21.8436
15.526,21.8558
15.527,21.8436
15.528,21.7948
15.529,21.8558
15.53,21.8436
15.531,21.7948
15.532,21.8558
15.533,21.8436
15.534,21.8558
15.535,21.8925
15.536,21.8436
15.537,21.8558
15.538,21.8436
15.539,21.8558
15.544,21.8925
15.545,21.7948
15.546,21.8436
15.547,21.8558
15.548,21.8436
15.549,21.8558
15.55,21.8436
15.552,21.7582
15.553,21.7948
15.554,21.7582
15.555,21.8436
15.56,21.7948
15.561,21.8558
15.562,21.8192
15.563,21.8436
15.568,21.7948
15.57,21.746
15.571,21.8925
15.572,21.7948
15.573,21.7582
15.574,21.746
15.575,21.8558
15.576,21.8436
15.578,21.746
15.579,21.8558
15.58,21.746
15.583,21.7582
15.584,21.7948
15.585,21.746
15.588,21.7948
15.59,21.7704
15.591,21.7948
15.592,21.746
15.593,21.7948
15.595,21.746
15.596,21.7948
15.597,21.7582
15.598,21.746
15.601,21.7948
15.602,21.746
15.604,21.7704
15.605,21.7582
15.606,21.7948
15.607,21.746
15.61,21.7582
15.611,21.6971
15.612,21.746
15.614,21.7582
15.615,21.7948
15.616,21.746
15.62,21.7582
15.621,21.746
15.631,21.7582
15.632,21.746
15.634,21.7582
15.635,21.746
15.64,21.7582
15.641,21.807
15.642,21.746
15.645,21.7582
15.646,21.746
15.648,21.7826
15.649,21.746
15.65,21.7582
15.651,21.746
15.652,21.7948
15.653,21.746
15.655,21.7582
15.656,21.746
15.658,21.7582
15.659,21.746
15.66,21.7582
15.662,21.746
15.663,21.7582
15.664,21.746
15.665,21.7582
15.666,21.746
15.671,21.7582
15.672,21.746
15.673,21.7582
15.674,21.746
15.675,21.7582
15.676,21.746
15.678,21.7582
15.679,21.746
15.68,21.7582
15.681,21.6971
15.682,21.746
15.683,21.7582
15.684,21.746
15.685,21.6605
15.686,21.7093
15.687,21.7582
15.689,21.746
15.691,21.6361
15.692,21.746
15.693,21.7582
15.694,21.6361
15.695,21.6605
15.696,21.6971
15.698,21.7215
15.699,21.746
15.701,21.6971
15.702,21.746
15.703,21.6361
15.704,21.746
15.705,21.7582
15.706,21.6605
15.707,21.7582
15.708,21.6971
15.71,21.746
15.716,21.6361
15.717,21.6605
15.72,21.6361
15.721,21.6605
15.723,21.6971
15.724,21.6361
15.726,21.6971
15.727,21.746
15.728,21.6605
15.729,21.6971
15.731,21.6605
15.733,21.6971
15.734,21.6605
15.735,21.6361
15.736,21.6605
15.737,21.6971
15.738,21.6361
15.739,21.6605
15.74,21.6361
15.741,21.7582
15.742,21.6361
15.743,21.6971
15.744,21.6361
15.745,21.6605
15.746,21.6361
